theta_deg,pdf,pmf_kcal_mol
0.5,0.0,0.0
1.5,0.0,0.0
2.5,0.0,0.0
3.5,0.0,0.0
4.5,0.0,0.0
5.5,0.0,0.0
6.5,0.0,0.0
7.5,0.0,0.0
8.5,0.0,0.0
9.5,0.0,0.0
10.5,0.0,0.0
11.5,0.0,0.0
12.5,0.0,0.0
13.5,0.0,0.0
14.5,0.0,0.0
15.5,0.0,0.0
16.5,0.0,0.0
17.5,0.0,0.0
18.5,0.0,0.0
19.5,0.0,0.0
20.5,0.0,0.0
21.5,0.0,0.0
22.5,0.0,0.0
23.5,0.0,0.0
24.5,0.0,0.0
25.5,0.0,0.0
26.5,0.0,0.0
27.5,0.0,0.0
28.5,0.0,0.0
29.5,0.0,0.0
30.5,0.0,0.0
31.5,0.0,0.0
32.5,0.0,0.0
33.5,0.0,0.0
34.5,0.0,0.0
35.5,0.0,0.0
36.5,0.0,0.0
37.5,0.0,0.0
38.5,0.0,0.0
39.5,0.0,0.0
40.5,0.0,0.0
41.5,0.0,0.0
42.5,0.0,0.0
43.5,0.0,0.0
44.5,0.0,0.0
45.5,0.0,0.0
46.5,0.0,0.0
47.5,0.0,0.0
48.5,0.0,0.0
49.5,0.0,0.0
50.5,0.0,0.0
51.5,0.0,0.0
52.5,0.0,0.0
53.5,0.0,0.0
54.5,0.0,0.0
55.5,0.0,0.0
56.5,0.0,0.0
57.5,0.0,0.0
58.5,0.0,0.0
59.5,0.0,0.0
60.5,0.0,0.0
61.5,0.0,0.0
62.5,0.0,0.0
63.5,0.0,0.0
64.5,0.0,0.0
65.5,0.0,0.0
66.5,0.0,0.0
67.5,0.0,0.0
68.5,0.0,0.0
69.5,0.0,0.0
70.5,0.0,0.0
71.5,0.0,0.0
72.5,0.0,0.0
73.5,0.0,0.0
74.5,0.0,0.0
75.5,0.0,0.0
76.5,0.0,0.0
77.5,0.0,0.0
78.5,0.0,0.0
79.5,0.0,0.0
80.5,0.0,0.0
81.5,0.0,0.0
82.5,0.0,0.0
83.5,0.0,0.0
84.5,0.0,0.0
85.5,0.0,0.0
86.5,0.0,0.0
87.5,0.0,0.0
88.5,0.0,0.0
89.5,0.0,0.0
90.5,0.0,0.0
91.5,0.0,0.0
92.5,0.00125,3.9845386660491195
93.5,0.0,0.0
94.5,0.0,0.0
95.5,0.0,0.0
96.5,0.0,0.0
97.5,0.0,0.0
98.5,0.0,0.0
99.5,0.0,0.0
100.5,0.0,0.0
101.5,0.0,0.0
102.5,0.0,0.0
103.5,0.0025,3.555175050059163
104.5,0.0,0.0
105.5,0.00125,3.9630201230093043
106.5,0.0025,3.5468089863546357
107.5,0.0,0.0
108.5,0.00125,3.953474376644772
109.5,0.0,0.0
110.5,0.0,0.0
111.5,0.0,0.0
112.5,0.0,0.0
113.5,0.0,0.0
114.5,0.0025,3.51562913037989
115.5,0.0,0.0
116.5,0.00125,3.918929530494759
117.5,0.00375,3.258677707418264
118.5,0.00125,3.908095156518044
119.5,0.0025,3.489099916818671
120.5,0.00125,3.8963198733284936
121.5,0.00125,3.8900677167943067
122.5,0.00625,2.9240812509885052
123.5,0.01,2.6371259947561665
124.5,0.00875,2.7097137296460914
125.5,0.00625,2.9030195135899293
126.5,0.00375,3.1999939947450575
127.5,0.00125,3.8471030239181103
128.5,0.00375,3.1840233798147803
129.5,0.00125,3.8305472952530617
130.5,0.0025,3.4085886300129182
131.5,0.005,2.986315843211936
132.5,0.00375,3.1484516279398758
133.5,0.0075,2.7255208942844122
134.5,0.00125,3.78364996150938
135.5,0.0,0.0
136.5,0.00375,3.107519168309203
137.5,0.0025,3.33808316581435
138.5,0.0,0.0
139.5,0.0025,3.3145563515939993
140.5,0.0,0.0
141.5,0.0025,3.289305522401462
142.5,0.0025,3.2759868680032715
143.5,0.00375,3.0204554525835725
144.5,0.00375,3.0061331789049754
145.5,0.0075,2.5780447102325077
146.5,0.00125,3.630794975026381
147.5,0.00875,2.454695157262882
148.5,0.00125,3.598118396825727
149.5,0.01125,2.2708998441723907
150.5,0.01125,2.2528760662667593
151.5,0.0075,2.47582554196227
152.5,0.01,2.284749475168064
153.5,0.015,2.0226034661102554
154.5,0.01375,2.053140094008095
155.5,0.01,2.2206731461659484
156.5,0.00875,2.2769058390625854
157.5,0.015,1.931060357202365
158.5,0.01,2.1470250546009884
159.5,0.0175,1.7862925685352204
160.5,0.02,1.6780926857787488
161.5,0.0175,1.72747343957528
162.5,0.0125,1.8960334008723656
163.5,0.025,1.4487626691969875
164.5,0.0175,1.625099846720851
165.5,0.0175,1.58625322124264
166.5,0.0125,1.7450947285073872
167.5,0.02375,1.3173547935429928
168.5,0.03375,1.058884655841735
169.5,0.03125,1.0511995136754746
170.5,0.04375,0.7915485064484733
171.5,0.06625,0.4784123621383097
172.5,0.06375,0.42721195681491936
173.5,0.055,0.4303398008008816
174.5,0.06625,0.2201651381291049
175.5,0.0825,-0.02993974033392611
176.5,0.07,-0.08157033512638076
177.5,0.055,-0.138208933931613
178.5,0.02125,0.12431290640114272
179.5,0.01125,-0.1514247662351251
